xikin nan pvtaq ,abacus
Tom vp cwwkwpa ,Tom is lonely 
Tom nyim dodku ,Tom is losing 
Tom abey bogo ,Tom is loving 
Tom ngog nyega nge ,Tom is my boy 
Tom ngog abb nge ,Tom is my dad 
Tom so bayum bacum so nyido ,Tom is nearby 
Tom kvtwqdo ,Tom is normal 
Tom wra so doma ,Tom is not in 
Tom gurab paku ,Tom is now up 
Tom twnk jil dodo ,Tom is paying 
Tom bosnum ,Tom is scared 
Tom danyi pa ,Tom is simple 
Piyanongam hogub sootain ham Tom cengdo,Tom knows how to play the piano 
Biyolangam hogub sootain ham tom cengdo,Tom knows how to play the viola 
Hogub orrioqkam pwreqtain ham Tom cengdo,Tom knows how to sharpen knives 
Tom cengdo ngo mwam henglwqma hvl,Tom knows that I don't like him 
Tom cengpa Meer Jonwn moopupa hvl,Tom knows that Mary kissed John 
Tom cengdo hogv Meei mwwl doodo hvl,Tom knows what Mary is thinking 
Tom cengdo hogv Meeri nyinwdo hvl,Tom knows what Mary wants to do 
Tom cengdo hogv mwv nyinwdo hvl,Tom knows what he's going to do 
Tom cengdo hogam mwv meegaqdvn hvl,Tom knows what he's looking for 
Tom cengdo hogloho ngo twngkam pvvpan,Tom knows where I hid the money 
Tom cengdo hog gab Meeri Boston tol doodwn,Tom knows why Mary is in Boston 
Tom mwv atam hog hengwsuma,Tom lacks confidence in himself 
Tom kardam tebol ho pvvpa,Tom laid his cards on the table 
Tom mwwg dumpongam dumtam ho dumdaqtvl doodo,Tom laid his head on the pillow 
Tom megajinam borgwn hoqgv borgwnwb lwql kaanum,Tom leafed through the magazine 
Tom otudvb xeqnamam Meeri hoqgv cengpan,Tom learned shorthand from Mary 
Soq dvra poolso Tom hogub poopu puqtain ham cengpaku,Tom learned to swim last summer 
Tom kvn oum otuqho Bostonwb wwnkun,Tom left Boston three weeks ago 
Tom ngulam albv dooyaka hvmab wwnba,Tom left without saying goodbye 
Tom hiyamkam bepamab wwnba,Tom left without telling anyone 
Tom mwwg Pranc kitapam ngam nvrwqpa,Tom lent me his French textbook 
Heman Hese ham Tom vigo poory rinwnum,Tom likes reading Hermann Hesse 
Tom ayam wwl yenunum,Tom likes taking walks at night 
Tom atam atv gool doodub abydvn,Tom likes talking about himself 
Tom nyi roluho yvdub mwwbymaadwn,Tom likes to avoid large crowds 
Tom podkastam tadvb aldvn,Tom likes to listen to podcasts 
Tom ww horskoho bemin bedub abydvn,Tom likes to sing in the shower 
Tom namho vpub doodvb abydvn,Tom likes to stay at home alone 
Tom atwg pagoqkam goodvb abydvn,Tom likes to talk about himself 
Tom nyit nyis tulu ham nyidvb abydvn,Tom likes trying out new things 
Tom kucuqbo rwxw ganga ngam tadvb abydvn,Tom listened to classical music 
Tom muram wm rwgabnum,Tom lit the candle with a match 
Wtwho Tom wmam rwn num,Tom lit the candles on the cake 
Tom mwwg imiq nyi tulu hoqgv vpub doonum,Tom lives apart from his family 
Tom soq bwyir bwcarso doodwn,Tom lives around here somewhere 
"Tom Bostonho doodwn, hvbma i?","Tom lives in Boston, doesn't he?"
Tom nam namkara gol doodwn,Tom lives in a very large house 
Tom camum ekar rongo mvnamho doodwn,Tom lives on a thirty-acre farm 
Tom mwwg nampum ho doodwn,Tom lives on his country estate 
Tom soq bwyir bwcarso doodwn,Tom lives somewhere around here 
Tom Meerin mwumkvtal kaapan,Tom looked at Mary suspiciously 
Tom puiyam lwgta kaadarnum,Tom looked at the message again 
Tom mwwg hvbkalam mwv nyinum,Tom looked like he always looks 
Tom nyisam nyiyum pakun hvb kaanum,Tom looked like he was finished 
Tom mwv bos kano dvn hvb kaanum,Tom looked like he was hesitant 
Tom mwv bos maadwn hvb kaanum,Tom looked like he was unafraid 
Tom alam nyinw yoomadvn hvb kaanum,Tom looked reluctant to do that 
Tom mwdwq saqtvl pupum hoqgv kaacoqnum,Tom looked sadly out the window 
Tom uuko hoqgv kaacoqnum,Tom looked through the peephole 
Tom tebol niikumb kaonum,Tom looked underneath the table 
Tom mwv micungo ngaadkun hvb nyinum,Tom looks like he's a bit tired 
Tom mwv haang alyoomadvn hvb nyinum,Tom looks like he's embarrassed 
Tom tvlwq maadvn hvb nyinum,Tom looks like he's unconvinced 
Tom mwwgab tvlwq yoomadvn hvb nyinum,Tom looks like he's unimpressed 
Tom ww horskoho bemin bedub abydvn,Tom loves to sing in the shower 
Tom bosoq tulu akvb Meerin mvnum,"Tom made Mary one of these, too "
Tom aniungkogotwq nyimurnum,Tom made a few serious mistakes 
Tom xinamjaq ak meelin num,Tom made an important discovery 
Tom mwv ngam betomramwk hvl dintwk hvl benum,Tom made me promise not to tell 
Tom ngul mwlwgab wtw mvjnum,Tom made pancakes for all of us 
Tom lwgta nyimur ak nyipa,Tom made the same mistake again 
Tom ho mood daraho mwwkur kunum,Tom made up his mind right away 
Tom mwv bemin bel swwdwn,Tom makes his living by singing 
Tom mwv hogv nyinwdvn ham nyidwn,Tom may do whatever he wants to 
Tom soqsam Meerin betompade,Tom may have told Mary about it 
Tom gaari vvcoqko doomab geqpa,Tom met with a traffic accident 
Tom kaav hvvnwqdvbo hvl cengbade,Tom must be aware of the danger 
Tom jvqtwngam kaapa maalo albade,Tom must not find out the truth 
Tom Meerin meegtalo paxtaknum,Tom nearly choked Mary to death 
Tom mw gab nitbo vnyiq kaan nanlo naadvb nyinum,Tom needs a new pair of glasses 
Hogub nyilakam Tom twnk meepadub nyinum,Tom needs the money desperately 
Soq pagoqgab Tom lwgta mwwkadub nyipa,Tom needs time to think it over 
Tom nitbo nyodo hotup vjlo rvdub nyiknum,Tom needs to buy a new raincoat 
Tom hospitolub wwdub nyinum,Tom needs to go to the hospital 
Haapam tuugin Tom juulin mvnum,Tom needs to let off some steam 
Tom mwwg huebsait ham mvdardub nyiknum,Tom needs to update his website 
Tom Boston gab tiket vnygo naadvb nyinum,Tom needs two tickets to Boston 
Tom ngam moopup dub lwgkam nyikamanum,Tom never even tried to kiss me 
Tom namho pooril mvtak hvnamam lwgkam mvmanum,Tom never finishes his homework 
Tom lwgkam pooka yirkadub mwwmanum,Tom never gave in to temptation 
Tom iskulub lwgkam baasub wwmanum,Tom never goes to school by bus 
Tom lwgkam nyi asaqkam twnk nvrwq maanum,Tom never lends money to anyone 
Tom Meerin lwta berwq kumanum,Tom never talks to Mary anymore 
Tom haatadv moodgab mwomaanum,Tom never thought of the future 
Tom lwgkam mwwg nyobam ngam betom maanum,Tom never told me his last name 
Hogv nyipan ham Tom ngam lwgkam betom maanum,Tom never told me what happened 
Tom tvlwqbanv mwwg dumpongv pvknum,Tom nodded his head in approval 
Tom kwlypaku hvl meeg kaapa duku,Tom noticed a couple of changes 
Tom sija cengpaku hogv mwv nyiyindvn,Tom now knows what he has to do 
Tom Meerin nyuqm tixaqnan vjko ak jinum,Tom offered Mary a handkerchief 
Tom lwxiam ngaq galokv twnk nwrnum,Tom often borrows money from me 
Tom olo lwxiam wwkydvn,Tom often goes there by himself 
Wjw aal looxiam Tom namho doonudvn,Tom often stays home on Sundays 
Tom lwxiam bosnam pilumam kaakydvn,Tom often watches horror movies 
Tom lwxiam mwwg an abam pui xeqlwqdvn,Tom often writes to his parents 
Tom lwxiam mwwg ko tulug benkho tamin gvdwn,Tom often yells at his children 
Tom Wjw aal gvla Nyiai aal pengkongam mwv so haadvn,Tom only comes here on weekends 
Tom hogv mwv nyinwdvn ham mwv nyitwqdvn,Tom only does what he has to do 
Tomgv aniungko suyitkes akin gootwq dootwqdvn,Tom only has one small suitcase 
Tom bemin vcjaqb dumdum taal dwwnam beminam tatwqdvn,Tom only listens to heavy metal 
Tom vyapam ikygab mvkojidwn,Tom opened the door for the dog 
Tom rwxw ganga tvk baqnbo nyi tulu lvgab mwwg CD ngam mvpan,Tom organized his CDs by artist 
Tom ham lwxiam nyidub mwwnum,Tom ought to do that more often 
Tom sooxakoho twnk nwrnamam jikur kunum,Tom paid off his gambling debts 
Tom vnyi nyium otuqho sinkun,Tom passed away three years ago 
Tom mwwg anwg tvsw majam opaqnum,Tom pawned his mother's jewelry 
Tom Meerin Jonwn svkatvk hvl xiix lolol benum,Tom persuaded Mary to help John 
Gaari xarnuko olokv Tom ngam baqapan,Tom picked me up at the station 
Tom hura jarnuko olokv ngulam baqatain,Tom picked us up at the airport 
Tom ar komcam Tenis soodwn,Tom plays tennis in the morning 
Tom wmam swwxo lvgab miqbyuqdvn,Tom poked the fire with a stick 
Tom mwwg abwg luxuqkam neelap jidwn,Tom polished his father's shoes 
Tom Meerin twwmdvb opongv pvtaqho toolwq jinum,Tom poured Mary a glass of wine 
Tom mww gab opo akta toolw sunum,Tom poured himself another beer 
Tom mww gab opo pooduqbo ak toolwq sunum,Tom poured himself some whiskey 
Tom lwxiam namho soonyoqdvn,Tom practiced every day at home 
Hvb nyitayi hvl Tom otuqho beonum,Tom predicted that would happen 
Holu luuxe aldo hvl Tom nyik nyimaqnum,Tom pretended everything was OK 
Lwgpalo sija Tom iss ho poopu puql yedkude,Tom probably isn't swimming now 
So Tom 2:30ngam hvvctain hvl dingrnum,Tom promised to be here by 2:30 
Tom ngam ngui twqgtain hvl dingnum,Tom promised to take me fishing 
Tom aal looxiam xeqtain hvl dingnum,Tom promised to write every day 
Tom Meerin iss sokom hoqgv pulin kunum,Tom pulled Mary out of the pool 
Tom wm pvrnan dooi naakho pulwqnum,Tom pulled into the gas station 
Tom Meerig laqpo hoqg uunam hvvtum jinum,Tom put a bandage on Mary's arm 
Tom Meerig uunho vjv hvvtumnum,Tom put a bandage on Mary's cut 
Wmho Tom wsw daagta vlwqnum,Tom put another log on the fire 
Tom mwwg yubtaqho vj nitv puulwqnum,Tom put clean sheets on his bed 
Tom mwwg naarangam tebol niikumho pvvnum,Tom put his bag under the table 
Tom mwwg kitap tulu ham udumho pvvnum,Tom put his books in his locker 
Tom mwwg twnk cukam tebolho pvvnum,Tom put his wallet on the table 
Tom mwwg kopiho gwwi meeg toolwqnum,Tom put some milk in his coffee 
Tom cox meeg mwwg hukuho heqpnum,Tom put some salad on his plate 
Tom mwwg xeql apnam pota ham droyarho pvvnum,Tom put the diary in the drawer 
Tom tiqkum namam tebolho pvvnum,Tom put the folder on the table 
Tom heqkonanam mwwg cukho pvvnum,Tom put the key into his pocket 
Tom neexaqnan ham vyap kookwho pvvnum,Tom put the mop behind the door 
Tom edin peemwqnan ham rabxaho pvvnum,Tom put the steaks on the grill 
Tom cooikab vyapam padin num,Tom quietly knocked on the door 
Tom alaqkam mwwg duum pengkob xwrnum,Tom ran a hand through his hair 
Tom kenlwg kvnho aadojaqb xarkasunamho xarnum,Tom ran a marathon last weekend 
Tom mwwg yubkub xarkurnum,Tom ran back into his apartment 
Kookwjaq Reel gaariho wwdub hvl Tom xarnum,Tom ran to catch the last train 
Meerig jinam kitap ham Tom poorynum,Tom read the book Mary gave him 
Wwnkun vnyiho Tom camum kitapgo poorynum,Tom read thirty books last year 
Tom mwwg nyimuram nyibiajaqb nyitnvk hvl betomsudvn,Tom readily admits his mistakes 
Hogv nyimur nyidudvn ham Tom mwwkur paku,Tom realized what was happening 
Soolo Tom jvqtwjab albo boonam nyipa,Tom really did a good job today 
Issho poopu puqdvb Tom vigo abydvn,Tom really likes swimming a lot 
Tom Meeri hoqgv pui xeqlwqnam ak nvvrwqnum,Tom received a letter from Mary 
Tom toxnamam birwqram hvl bel doonum,Tom refused to answer questions 
Tom edin dvnamam dvyok hvnamam tamanum,Tom refused to stop eating meat 
Tom moodgob hog gokam od abin mab doonum,Tom remained silent for a while 
Ngoqg twnk jisam jitwk hvl Tom ngam hvraqb bepajinum,Tom reminded me to pay my bills 
Issho iky holwgboam Tom seelin kunum,Tom rescued a dog from drowning 
Tom kiir circwrnamam odmabwk hvl betornum,Tom resisted the urge to scream 
"Tom boon nyinam hoqgv Lwb Poolwg 20, 2013 ho doonu kunum","Tom retired on October 20, 2013 "
Tom nyi dookho hookur kunum,Tom returned to the living room 
Tom ayam ai ywwlywngam haadkun,Tom returned very late at night 
Tom atwg copi aaxiam ramnum,Tom roasts his own coffee beans 
Tom atwg vj koonamam tiql apnum,Tom rolled up his shirt sleeves 
Meeri Pranc agamam aljaqb bedwn hvl Tom betomnum,Tom said Mary is good at French 
Tom mwv boon nyis ak kam kaapama hvl benum,Tom said he couldn't find a job 
Tom mwv copi twwmadvn hvl benum,Tom said he didn't drink coffee 
Tom mwv hog ak kam kaapama hvl benum,Tom said he didn't see anything 
Tom mwv Meerin lvqc cis ak doodwn hvl benum,Tom said he had a gift for Mary 
Tom mwv gvda asaqgol wwdub nyido hvl benum,Tom said he had to go somewhere 
Tom ham Meeri bepan hvl benum,Tom said he heard Mary say that 
Tom mwv cengdo ham hogub nyidwn hvl benum,Tom said he knew how to do that 
Tom mwv cengdo hogam Meeri pvvsdvn hvl benum,Tom said he knows Mary's secret 
Tom mwv pwplo camleq vnyigo naadvb nyido hvl benum,Tom said he needed a dozen eggs 
Tom mwv Meerin ham nyidub kaapanum hvl benum,Tom said he saw Mary doing that 
Tom mwwg lvgab wwbabo ajin meeg doolo alpa hvl benum,Tom said he wanted some company 
Tom mwwg ww apo mwlwho vcdo hvl benum,Tom said he was aching all over 
Tom mwv vcjaqb ngaapku hvl benum,Tom said he was extremely tired 
Tom mwv hangwrpa hvl benum,Tom said he was feeling thirsty 
Tom mwv ngam pui ak betain hvl benum,Tom said he'd give me a massage 
Tom mwv alam Meerigab nyijtain hvl benum,Tom said he'll do that for Mary 
Tom mwv alam svkanwwdo hvl benum,Tom said that he wanted to help 
Tom mwv moomajaqpa hvl benum,Tom said that he was in a hurry 
Tom mwv vcjaqb ngaapaku hvl benum,Tom said that he was very tired 
Tom mwv nyibiajaqb hookurtain hvl benum,Tom said that he'd be back soon 
Tom mwv 2 30ngam goqtain hvl benum,Tom said that he'd call at 2:30 
Tom mwv ngam kookwngam bepatain hvl benum,Tom said that he'd call me back 
Tom mwv Bostonwb wwtain hvl benum,Tom said that he'd go to Boston 
Tom twnk jisam mwv jitain hvl benum,Tom said that he'd pay the bill 
Nam mendataknumwk hvl Tom benum,Tom said you were almost killed 
No alam Meerig nyijto hvl Tom benum,Tom said you'd do that for Mary 
Tom alv lvko sutwl kvrtaq nanho doonum,Tom sat cross-legged on the bed 
Tom doabanv ho pota ham poorynum,Tom sat down and read the paper 
Tuukunam dootamho Tom doanum,Tom sat down on a folding chair 
Baasho Tom Meerig dookho doonum,Tom sat next to Mary on the bus 
Kvrnuko osoho Tom doonum,Tom sat on the arm of the couch 
Tom tebolwg niqtuqho doonum,Tom sat on the edge of the desk 
Tom Meerig bwyirjaqho doonum,Tom sat on the sled behind Mary 
Tom lwumgo doolarv pvvkumnum,Tom saved three hundred dollars 
Tom Meeri mwwg dookub haadunamam kaapanum,Tom saw Mary coming towards him 
Meerin ngoqg twnk haatamgo jidu namam Tom kaapanum,Tom saw me give Mary some money 
Tom kedho hog ak kaapanum,Tom saw something on the ground 
Ngo Pranc agam ham poorykindo hvl Tom benum,Tom says I have to study French 
Tom Bostanamam mwwbyma hvl benum,Tom says he doesn't like Boston 
"Hoq gab swmw ho pil sam dvl swyu dvb mwto,Mwg dvnamv alub dvl swnum hvb mab swyu kuma ”",It is better to eat dry grass and straws and live long rather than have a rich feast and get killed ”
Ceenlaq nam agum: no attv hogv dog dvn do doto ,The moral : 
Ceenalq bo Nyi,The Wise Man
"Nyi tulw nge ceenalq bo nyi awk dokwv hwdq naam,","People have been coming to the wise man,"
lwxiam mwam buluwg vs-axaqngam sortam nam ,complaining about the same problems every time 
"Algolo mvw bulam mwwnyir bo gon awk betamnam, ho bulv awchjabv nyirnam ",One day he told them a joke and everyone roared in laughter 
"Anyo kokw ho,","After a couple of minutes,"
"mvw bulam ho mwwnyir bo gon akin nam harav betamana, nyi atta anyio gw nyirka teqnem ",he told them the same joke and only a few of them smiled 
"Hwdlo ho mwwnyir bo gon akin nam lwoum deeb bedho,bulew heyekaam nyirqma ",When he told the same joke for the third time no one laughed anymore 
"Ceenlaq bo nyi ake nyirs nam, ho bulam benam:",The wise man smiled and said:
Nulew mwwnyir bo gon akin nam nyirdar-nyirdar nyioma tel ,“You can’t laugh at the same joke over and over 
Hogub nulew loxiam vs-axaq akin gab hevdwden ,So why are you always crying about the same problem?”
"Ceenlaq nam agum: Mwwdwq dwqnamme vs-axaq ngam alov mwgram, hemabdew mood ngam la ator ram nyiyum ewpaq tai ","Moral :Worrying won’t solve your problems, it’ll just waste your time and energy "
Larnbo Opu,The Proud Rose
"Al logolo, opu awk dwnum ho mvw anyia ngam vch larqnum ",Once upon a time there was a rose who was very proud of her beautiful looks 
Ho opu hog akinchi mlwg manam mew mvw kaac bo taa gvnbo nwmw koc ho swnam ,Her only disappointment was that she grew next to an ugly cactus 
"Alloxiam,","Every day,"
"Opu ake,taa gvnbo nwmw akem bej-beparnam, hebmvw taa gvnbo nwmw ake hoggokam birw manam,",the rose would insult the cactus on his looks while the cactus stayed quiet 
"mwlw asaq svvn tuluw nge Opu akham kalaq tese mvwnam,","All the other plants in the garden tried to make the rose see sense,"
"Hebmwvde, opu ake mvw anyia ngam bigy num ",but she was too swayed by her own beauty 
"Dwr pool ho,","One summer,"
"Boolu ho sokam mw pwtw yekum,","the well present in the garden grew dry,"
svvn tuluq gam issn doma kunam ,and there was no water for the plants 
Opu ake sengrum dukho ,The rose began to wilt 
"Mvw kanum, pvta pwdw nge xiibu hogge iss twdeb hogv taa gvnbo nwmw hoge ",She saw a sparrow dip her beak into the cactus for some water 
"Mvw hvnywnam,","Though ashamed,"
"Hvbgekam, mvwe taa gvnbo nwmw ham iss lak jwtv hel benam ",she asked the cactus if she too could have some water 
Anya boTaa gvnbo nwmw loolwqnam ajin hev ho bwnge hwntor ja dwr pool ho ,The kind cactus readily agreed and they both got through the tough summer as friends 
Albo Agum:Hwdlokam nyiyam kanyw jemav bulv huguv kaaden ,Moral: Never judge someone by the way they look 
Pensil ge gon,The Tale of the Pencil
Raj mvw mwwdwq mvnam hogav heniylo mvw English ge poorynam alev nyima num ,Raj was upset because he had done poorly in his English test 
"Mvw xoox ann hew mvw bayium ho donum,","His grandmother sat beside him,"
ho mvwm pensil awk jinum ,and gave him a pencil 
"Haandar mwam Raj mvw xoox ann kaagabnam, ho mvw benum ngo soqv pensil sam nadev nyikma ngo hog poorye al kuma ",A puzzled Raj looked at his grandma and said he didn’t deserve a pencil after his performance in the test 
"Mvw xoox ann benam,","His grandma explained,"
No sogw pensil soge naleq luxi-dwnd cintayin hoguv benlo sogw pensil si nag hen nyiden ,‘You can learn a great many things from this pencil because it is just like you 
"Mvwe cengpapa vc jaqnam pwreqnam mam,","It experiences a painful sharpening,"
Nogw english poory ho almab cengpaq nam heb kalam ,just the way you have experienced the pain of not doing well on your test 
"Hvbjaqkukam,","However,"
Pensil mvwe nam svkatayin albo iskul himybv nyinuv ,it will help you be a better student 
Pensil mvwg albo nge mvwg ateqge urew ho hadewn ,"Just as all the good that comes from the pencil is from within itself,"
Hebkelam nokam attor kapatayin sogq hvntoor sowqge ,you will also find the strength to overcome this hurdle 
"Ho ayitwr ayinya ho,","And finally,"
"Sogw pensil hoguv muxden hvvkelam nokam muxtayin,","just as this pencil will make its mark on any surface,"
Nokam mvwg hekelam muxw appaq tayin luxi-dwad nogq nyites mvvnam ho' ,you too shall leave your mark on anything you choose to’ 
"Raj mvwg nyibia jagb met mvlana atwam, hoge mvw dingrnam atwam alev swdeb ",Raj was immediately consoled and promised himself that he would do better 
Albo Agum:Ngul mwlwngv ator doodad ngule hoguv swnev den ,Moral:We all have the strength to be who we wish to be 
Paca bo Svdam,The Foolish Donkey
Al Puqnbo mvw al poochv ngam svdam mvwm baqwam tel kwm kor mvk looxiam al putav wknum ,"A salt seller used to carry the salt bag on his donkey to the market every day,"
Lamta ho pobu hocw bo awk epeq num ,On the way they had to cross a stream 
Algolo svdum mvwe cingmapaq iss bobu ho yoql num hoge al ge poochv ngam iss ho yoqle pan ,One day the donkey suddenly tumbled down the stream and the salt bag also fell into the water 
Ale iss laqav mvyo mvco yukam ho al poochi nge badev hvrab kunam ,The salt dissolved in the water and hence the bag became very light to carry 
Ho svdum mvwe havmp num ,The donkey was happy 
Hoge svdum dore looxiam hev kedwa nyiruv paaku ,Then the donkey started to play the same trick every day 
Ho al puqnbo atw doore svdum nyinam mam cingpa tukwl mvwe namjade nyiswrdav nyipa ,The salt seller came to understand the trick and decided to teach a lesson to it 
Logwn ho atw doore coopwpa poochi ngam svdum gw lamkw ho bwavbam num ,The next day he loaded a cotton bag on the donkey 
Svdum doore herav ho sur ngam ngipa mvw megamme baqdev harav tai mvwepa ,Again it played the same trick hoping that the cotton bag would be still become lighter 
Hebmwv coopwpa poochi nge juja yukam hoya-hoya vqw dukho svdum doore vchv hentwr kuna ,But the dampened cotton became very heavy to carry and the donkey suffered 
Ho svdun mvwe hander paku ,It learnt a lesson 
Hoge mvwe hoq sur ham nyikmanum ,"It didn’t play the trick anymore after that day,"
Hoge al puqnho attv mvwe hemp kunam ,and the seller was happy 
Albo niten: xijiqname looxiam mwwsw maden ,Moral:Luck won’t favor always 
Albo Agum: xijiqname looxiam mwwsw maden ,Moral:Luck won’t favor always 
Svv ngvla Paat,The Cows And The Tiger
Svv vpy nyoro ho miipap salap nyook koc ho donum ,Four cows lived in a forest near a meadow 
Bule alov ja ajin hoge lux-dedam lokuv nyiyin num ,They were good friends and did everything together 
"Bule lokum deyin teyin lai dobum num,","They grazed together and stayed together,"
Hogam paat la sonyi nyot bulam denyw madum ,because of which no tigers or lions were able to kill them for food 
"Hvbmabde allogo,","But one day,"
Bul ajine ywlu domin sulayil asaq nyok ho des detav vnum ,the friends fought and each cow went to graze in a different direction 
Paat la sonyi nyote ham kapatel mevnum he alja modw go svv bulam mengel dedev ,A tiger and a lion saw this and decided that it was the perfect opportunity to kill the cows 
"Bule nwmw ureq ho kaslil dotel svv ngam loum dwb mengyum kunam,","They hid in the bushes and surprised the cows and killed them all,"
Akin akin bw ,one by one 
Taguv se agum: Lokumv doname attore ,Moral: Unity is strength 
Svt la Ajin,Elephant And Friends
Akin chewnye Svt mvwe nyoro ho ajin Mega lenum ,A lone elephant wandered the forest looking for friends 
"Mvwe Seby kapatel tanum,","She came across a monkey and asked,"
"""No ngog ajin swta yinrew seb no?""","“Will you be my friend, monkey?”"
"""no poot jagq pa ngog hem svvn tolo bigl doong ram ",“You are too big and cannot swing on trees as I do 
"Hogab ngo ngog lagav ajin nyoram"",",So I cannot be your friend”
Seby benum ,", said the monkey "
"Hoge svt mvwe buut kubu ngam vpeq layil tanum, no ngag ajin swtanyin yeh? ",The elephant them came across a rabbit and asked him if she could be his friend 
"""No poot jagq pa ngog ung ho hawang ram ",“You are too big to fit inside my burrow 
"No ngogam ajin nyoram"",","You cannot be my friend”,"
buut kubu nge bingrenum ,replied the rabbit 
"Hoge svt mvwe tvtwq kaam vpeq layil tanum, no ngag ajin swtanyin yeh? ",Then the elephant met a frog and asked if she could be her friend 
"Tvtwg ge benum,","The frog said,"
"""No poot layil vgw japa,",“You are too big and heavy 
No ngog hev juqram nyioram ,You cannot jump like me 
"Ngam apaq jetuv,","I am sorry,"
"Hvbmabde no ngog ajin swyin ram"" ",but you cannot be my friend” 
"Hoge svt mvwe siyal ham tapa,","The elephant asked a fox,"
"Siyal hekam buleq benam hev bepa,","and he got the same reply,"
No poot japa hel ,that he was too big 
"Login al ho,","The next day,"
mwlwngv svdin nge nyoro ho bossuliye xardul doonam ,all the animals in the forest were running in fear 
"Ho svt mvwe svtum mam takapa, hoge nyipan? Ho betum pa paat nge mwlwngv svdin ngam paiyaq dwd ku hel,",The elephant stopped a bear and asked what was happening and was told that a tiger has been attacking all the animals 
Ho svt mvwe mwlwngv laanyi maanbo svdin ngam ywwlin dev hog paat dokuv wylayil benum ,The elephant wanted to save the other weak animals and went to the tiger and said
"""Xumtden rad ab,","“Please sir,"
Ngog ajin tulu ngam apaq jetuv ,leave my friends alone 
"No mwlwam demav ja"" ",Do not eat them” 
Paat doore svt benam mam tama hoge svt benum ngog ategq bon ngam nyis to hel bwrnum ,The tiger didn’t listen and asked the elephant to mind her own business 
Svt mvwe asaq lamta kapa malalyil hog nyitup-nyic ngam maya deb ,"Seeing no other way to solve the problem,"
Svt mvwe hog paat dooram awdo jav duha tel hoge paat ngam nyilum num ,the elephant kicked the tiger and scared it away 
Ho svt mvw mwleg dokum uwkur layil betum pakun hoge nyipa kun hel ,She then went back to the others and told them what happened 
"Svte hoguv bwlam ywwlin num hum bwle twtel,","On hearing how the elephant saved their lives,"
"hoge svdin mwlenge lwkin gov hel birnum,","the animals agreed in unison,"
"""No hev poot se ngulgam aljapa ngul ajin gav"" ",“You are just the right size to be our friend” 
Taguv sa agum: Ajine hoden hogbekav poot ponio ho!,Moral:Friends come in all shapes and sizes!
Anyiobo tac la mwg Ann,The Young Crab And His Mother
"Al log golo,","One day,"
No ham kaadwb nyipa ,You have to see it 
No hvb bartaq pa ,You just got lucky 
No cengdo ngo ham aby maaden ,You know I hate it 
No cengdo ngo kvtaq ma hvl ,You know I'm wrong 
No cengdo hv hog gub nyiden hvl ,You know how it is 
No cengdo ung roq nam ngam ,You know the drill 
No svt ngam abyden ,You like elephants 
No swwl layil hoge cengto ,You live and learn 
No kaadwb ura ho doonbo hvb kaado ,You look contented 
No nyaapa kun hvb kaado ,You look exhausted 
"Tom, no kaadwb alw pan hvb kaado ","You look fine, Tom "
No kaadwb xumtw jaq pan hvb kaado ,You look satisfied 
No kaadwb lompanhvb nyipa ,You look surprised 
No vcib alwpan hvb kaado ,You look very good 
No kaadwb lwcw lwsa pan hvb kaado ,You look very pale 
No nyixaq nyipa ,You made a mistake 
